news_id,category,title,entity_text,entity_type,entity_type_desc,start_char,end_char
1,Technology,Apple Unveils Revolutionary AI Chip,Apple Inc.,ORG,"Companies, agencies, institutions, etc.",0,10
1,Technology,Apple Unveils Revolutionary AI Chip,today,DATE,Absolute or relative dates or periods,21,26
1,Technology,Apple Unveils Revolutionary AI Chip,Cupertino,GPE,"Countries, cities, states",36,45
1,Technology,Apple Unveils Revolutionary AI Chip,Tim Cook,PERSON,"People, including fictional",133,141
1,Technology,Apple Unveils Revolutionary AI Chip,M3,GPE,"Countries, cities, states",160,162
1,Technology,Apple Unveils Revolutionary AI Chip,October 2024,DATE,Absolute or relative dates or periods,189,201
1,Technology,Apple Unveils Revolutionary AI Chip,over $10 billion,MONEY,"Monetary values, including unit",228,244
1,Technology,Apple Unveils Revolutionary AI Chip,Microsoft,ORG,"Companies, agencies, institutions, etc.",274,283
1,Technology,Apple Unveils Revolutionary AI Chip,Google,ORG,"Companies, agencies, institutions, etc.",288,294
2,Politics,UN Summit Addresses Climate Change,The United Nations,ORG,"Companies, agencies, institutions, etc.",0,18
2,Politics,UN Summit Addresses Climate Change,Paris,GPE,"Countries, cities, states",54,59
2,Politics,UN Summit Addresses Climate Change,last week,DATE,Absolute or relative dates or periods,60,69
2,Politics,UN Summit Addresses Climate Change,Emmanuel Macron,PERSON,"People, including fictional",81,96
2,Politics,UN Summit Addresses Climate Change,France,GPE,"Countries, cities, states",100,106
2,Politics,UN Summit Addresses Climate Change,over 150,CARDINAL,Numerals that do not fall under another type,129,137
2,Politics,UN Summit Addresses Climate Change,The European Union,ORG,"Companies, agencies, institutions, etc.",149,167
2,Politics,UN Summit Addresses Climate Change,€500 million,MONEY,"Monetary values, including unit",176,188
2,Politics,UN Summit Addresses Climate Change,British,NORP,Nationalities or religious or political groups,220,227
2,Politics,UN Summit Addresses Climate Change,Rishi Sunak,PERSON,"People, including fictional",243,254
2,Politics,UN Summit Addresses Climate Change,German,NORP,Nationalities or religious or political groups,259,265
2,Politics,UN Summit Addresses Climate Change,Olaf Scholz,PERSON,"People, including fictional",277,288
3,Business,Tesla Breaks Production Records,Tesla Motors,ORG,"Companies, agencies, institutions, etc.",0,12
3,Business,Tesla Breaks Production Records,the third quarter of 2024,DATE,Absolute or relative dates or periods,58,83
3,Business,Tesla Breaks Production Records,Elon Musk,PERSON,"People, including fictional",127,136
3,Business,Tesla Breaks Production Records,"500,000",CARDINAL,Numerals that do not fall under another type,147,154
3,Business,Tesla Breaks Production Records,Austin,GPE,"Countries, cities, states",186,192
3,Business,Tesla Breaks Production Records,Texas,GPE,"Countries, cities, states",194,199
